"vehicle_type","towing_and_articulation","vehicle_manoeuvre","vehicle_location.restricted_lane","junction_location","skidding_and_overturning","hit_object_in_carriageway","vehicle_leaving_carriageway","hit_object_off_carriageway","X1st_point_of_impact","was_vehicle_left_hand_drive.","journey_purpose_of_driver","sex_of_driver","age_of_driver","age_band_of_driver","engine_capacity_.cc.","propulsion_code","age_of_vehicle","driver_home_area_type","number_of_vehicles","day_of_week","time","X1st_road_class","road_type","speed_limit","junction_detail","junction_control","X2nd_road_class","pedestrian_crossing.human_control","pedestrian_crossing.physical_facilities","light_conditions","weather_conditions","road_surface_conditions","special_conditions_at_site","carriageway_hazards","urban_or_rural_area","pedestrian_location","pedestrian_movement","fatal"
9,0,18,0,0,0,4,0,0,1,1,1,1,51,8,1997,2,2,3,3,5,"12:05:00",3,3,40,0,NA,NA,0,4,1,1,1,0,0,1,"0","0",0
9,0,3,0,0,0,0,0,0,2,1,1,1,37,7,998,1,1,1,3,5,"12:05:00",3,3,40,0,NA,NA,0,4,1,1,1,0,0,1,"0","0",0
9,0,3,0,0,0,0,0,0,3,1,1,1,35,6,1995,2,3,1,3,5,"12:05:00",3,3,40,0,NA,NA,0,4,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,0,0,0,1,10,1,1,6,2,26,6,NA,NA,NA,NA,1,7,"22:47:00",3,3,40,0,NA,NA,0,5,4,1,1,0,0,1,"0","0",0
9,0,18,0,2,0,0,0,0,1,1,6,1,40,7,1198,1,10,1,3,3,"10:15:00",5,6,30,8,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,18,0,2,0,0,0,0,2,1,1,2,40,7,1560,2,5,1,3,3,"10:15:00",5,6,30,8,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,2,0,0,0,0,2,1,2,2,50,8,1598,1,4,1,3,3,"10:15:00",5,6,30,8,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,18,0,8,0,0,0,0,1,1,6,1,31,6,2148,2,6,1,2,2,"10:30:00",4,9,30,9,4,6,0,0,1,1,1,0,0,1,"0","0",0
9,0,8,0,5,0,0,0,0,2,1,1,2,31,6,1461,2,1,1,2,2,"10:30:00",4,9,30,9,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
9,0,5,0,6,0,0,0,0,4,1,1,2,34,6,998,1,6,1,2,4,"20:40:00",3,6,30,7,4,6,0,0,4,1,1,0,0,1,"NA","NA",0
3,0,16,0,8,0,0,0,0,3,1,6,1,17,4,125,1,5,1,2,4,"20:40:00",3,6,30,7,4,6,0,0,4,1,1,0,0,1,"0","0",0
9,0,7,2,5,0,0,0,0,4,1,6,1,68,10,1997,1,12,3,2,2,"10:00:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"NA","NA",0
11,0,18,2,8,0,0,0,0,1,1,1,1,68,10,9360,2,6,1,2,2,"10:00:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
11,0,18,2,8,0,0,0,0,1,1,1,1,68,10,9360,2,6,1,2,2,"10:00:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
11,0,18,2,8,0,0,0,0,1,1,1,1,68,10,9360,2,6,1,2,2,"10:00:00",3,6,30,3,4,6,0,0,1,1,1,0,0,1,"0","0",0
5,0,17,0,8,2,0,1,4,4,1,6,1,30,6,599,1,15,NA,2,1,"17:35:00",6,1,30,8,4,6,0,0,1,1,1,0,0,2,"0","0",0
9,0,2,9,8,0,0,0,0,0,1,6,2,48,8,1796,1,8,NA,2,1,"17:35:00",6,1,30,8,4,6,0,0,1,1,1,0,0,2,"NA","NA",0
9,0,7,0,6,1,0,7,1,1,1,6,1,26,6,1598,1,8,1,2,7,"00:28:00",3,3,30,3,4,6,0,0,4,1,1,0,0,1,"0","0",0
9,0,7,0,6,1,0,7,1,1,1,6,1,26,6,1598,1,8,1,2,7,"00:28:00",3,3,30,3,4,6,0,0,4,1,1,0,0,1,"0","0",0
9,0,7,0,6,0,0,0,0,0,1,1,1,43,7,2993,2,2,NA,2,7,"00:28:00",3,3,30,3,4,6,0,0,4,1,1,0,0,1,"NA","NA",0
9,0,5,0,8,0,0,0,0,1,1,6,1,31,6,1598,1,1,1,2,7,"09:23:00",3,6,30,6,2,5,0,5,1,1,1,0,0,1,"0","0",0
19,0,18,0,8,5,0,1,1,3,1,1,1,58,9,2143,2,1,1,2,7,"09:23:00",3,6,30,6,2,5,0,5,1,1,1,0,0,1,"0","0",0
9,0,18,0,8,0,0,0,0,1,1,1,1,40,7,1598,1,12,1,2,4,"06:33:00",3,6,30,6,2,5,0,5,1,1,2,0,0,1,"NA","NA",0
9,0,9,0,8,0,0,0,0,3,1,2,2,44,7,1560,2,1,1,2,4,"06:33:00",3,6,30,6,2,5,0,5,1,1,2,0,0,1,"0","0",0
9,0,8,0,6,0,0,0,0,2,1,6,3,NA,NA,NA,NA,NA,NA,1,3,"22:10:00",5,6,30,3,4,3,0,0,4,1,1,0,0,1,"5","1",0
9,0,7,0,6,0,0,0,0,1,1,1,1,55,8,NA,NA,NA,1,2,5,"05:20:00",3,6,30,3,4,6,0,0,1,2,2,0,0,1,"NA","NA",0
1,0,18,0,1,0,0,0,0,1,1,6,2,27,6,NA,NA,NA,1,2,5,"05:20:00",3,6,30,3,4,6,0,0,1,2,2,0,0,1,"0","0",0
